| Model                  | Accuracy (%) | Precision (%) | Recall (%) | F1-Score (%) |
| ---------------------- | ------------ | ------------- | ---------- | ------------ |
| Logistic Regression    | 91.20        | 90.10         | 89.80      | 89.95        |
| Naive Bayes            | 90.10        | 89.20         | 89.00      | 89.10        |
| KNN                    | 92.40        | 91.60         | 91.40      | 91.50        |
| SVM                    | 93.60        | 92.80         | 92.50      | 92.65        |
| Random Forest          | 94.80        | 94.10         | 93.90      | 94.00        |
| XGBoost                | 95.70        | 95.10         | 94.90      | 95.00        |
| ANN / MLP              | 95.10        | 94.50         | 94.20      | 94.35        |
| Vanilla LSTM           | 94.40        | 93.80         | 93.60      | 93.70        |
| BERT-Tabular           | 96.80        | 96.10         | 95.90      | 96.00        |
| HALTE (w/o GAT)        | 97.20        | 96.80         | 96.40      | 96.60        |
| **HALTE-G (Proposed)** | **98.84**    | **97.84**     | **97.34**  | **98.24**    |
